in der Acht,Linger,Käerjeng
im Hunnenzälltgen,Linger,Käerjeng
in der Acht auf der Lag,Linger,Käerjeng
zwischen den Bannen,Linger,Käerjeng
am Kirchenbäumchen,Linger,Käerjeng
in Wolfert,Linger,Käerjeng
Sobelsack,Linger,Käerjeng
in der Erbschaft,Linger,Käerjeng
Zillbuesch,Linger,Käerjeng
im Hersberg,Linger,Käerjeng
im Rothfeld,Hautcharage,Käerjeng
im Kalk,Hautcharage,Käerjeng
in der Acht,Hautcharage,Käerjeng
auf den Gruben,Hautcharage,Käerjeng
in der Mühlenstädchen,Hautcharage,Käerjeng
auf der Hoesterchen,Hautcharage,Käerjeng
auf Salt,Hautcharage,Käerjeng
in Lanngrund,Hautcharage,Käerjeng
bei Laeschbour,Hautcharage,Käerjeng
bei lorentzborn,Hautcharage,Käerjeng
Bandelt,Hautcharage,Käerjeng
in der Kaemerchen,Hautcharage,Käerjeng
im Angelsberg,Hautcharage,Käerjeng
im Gärtchen,Hautcharage,Käerjeng
im Tempelfeld,Hautcharage,Käerjeng
Bofferdangermoder,Hautcharage,Käerjeng
in Bofferdangerwiesen,Hautcharage,Käerjeng
in Frohnertzlängt,Hautcharage,Käerjeng
op dem Kellerwee,Hautcharage,Käerjeng
in der obersten Mühlenstädchen,Hautcharage,Käerjeng
im Grauenstein,Bascharage,Käerjeng
in der Thomm,Bascharage,Käerjeng
im Freigart,Bascharage,Käerjeng
im Leim,Bascharage,Käerjeng
Barrière,Bascharage,Käerjeng
in Lauterban,Bascharage,Käerjeng
in Freiendall,Bascharage,Käerjeng
im Hölenrück,Bascharage,Käerjeng
auf Dautweiller,Bascharage,Käerjeng
beim Korbäumchen,Bascharage,Käerjeng
in der Fischerei,Bascharage,Käerjeng
in der Höll,Bascharage,Käerjeng
bei Linger Steg,Bascharage,Käerjeng
im Gärtchen,Bascharage,Käerjeng
in der Schinnskaul,Bascharage,Käerjeng
Moulin de Bascharage,Bascharage,Käerjeng
Kosselt,Bascharage,Käerjeng
Pohleneck,Bascharage,Käerjeng
Krankweyer,Bascharage,Käerjeng
auf Kapelstücker,Bascharage,Käerjeng
Kettringerpärchen,Bascharage,Käerjeng
auf Zemmetterhaus,Bascharage,Käerjeng
im Heiligengrund,Bascharage,Käerjeng
im Achtegrund,Bascharage,Käerjeng
bei der Weissermark,Bascharage,Käerjeng
auf der Steinrausch,Bascharage,Käerjeng
Welschwinkel,Bommelscheuer,Käerjeng
bei Bommelscheuer,Bommelscheuer,Käerjeng
Sichmes Gründchen,Clemency,Käerjeng
happe feld,Clemency,Käerjeng
Langer Haag,Clemency,Käerjeng
Eiche Wies,Clemency,Käerjeng
Arler Weg,Clemency,Käerjeng
auf der Mees,Clemency,Käerjeng
Neuens Kreutz,Clemency,Käerjeng
Brautrock,Clemency,Käerjeng
käller,Clemency,Käerjeng
Auf den gebrannten häuser,Clemency,Käerjeng
Weyerchen,Clemency,Käerjeng
Schlewenhof,Clemency,Käerjeng
Schansbach,Clemency,Käerjeng
Breide Weg,Clemency,Käerjeng
Horstadt,Clemency,Käerjeng
Puberich,Clemency,Käerjeng
Hune Winkel,Clemency,Käerjeng
Schweinsanner,Clemency,Käerjeng
Oligslag,Clemency,Käerjeng
Kohleberg,Clemency,Käerjeng
Holz-Stras,Clemency,Käerjeng
Schante Bour,Clemency,Käerjeng
Bouracht,Clemency,Käerjeng
Nachtban,Moulins,Käerjeng
Michelberg,Moulins,Käerjeng
bey der Kapell,Moulins,Käerjeng
Weyerchen,Moulins,Käerjeng
Kaespelt,Moulins,Käerjeng
Lanneknap,Moulins,Käerjeng
Bramesch Wies,Moulins,Käerjeng
Schock Weyer,Moulins,Käerjeng
Schockmühle,Moulins,Käerjeng
Kühonner,Moulins,Käerjeng
